id,name,quarter,category,evidence_grade,referral_zones,clinical_note,differentiate_from,source
lq-m-fdb,Flexor digitorum brevis,lower,Muscle (myofascial),C,Plantar forefoot / metatarsal heads (primary); Plantar heel (common); Medial arch (spillover),Plantar surface under metatarsal heads 2–4 and the central heel.,,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-fdl,Flexor digitorum longus,lower,Muscle (myofascial),C,Plantar forefoot / metatarsal heads (primary); Posterior calf (common); Medial arch (spillover),"Plantar surface over metatarsal heads 2–5, with a deep calf ache.",,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-interossei-foot,Foot interossei,lower,Muscle (myofascial),C,Plantar forefoot / metatarsal heads (primary); Lateral toes (primary); Dorsum of foot (common),Local pain in the corresponding toe and web space. Third and fourth web-space trigger points can mimic Morton's neuroma.,Morton's neuroma; metatarsalgia; stress fracture,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-gastroc,Gastrocnemius,lower,Muscle (myofascial),C,Posterior calf (primary); Medial arch (common); Posterior knee / popliteal fossa (common); Medial leg (common); Lateral leg (spillover),Medial head refers to the medial calf and the instep/arch; lateral head to the posterior knee and lateral calf. Implicated in nocturnal calf cramps.,"DVT (EXCLUDE FIRST in an acutely swollen, warm calf); S1 radiculopathy","Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-glut-max,Gluteus maximus,lower,Muscle (myofascial),C,Upper buttock (primary); Lower buttock / gluteal fold (primary); Coccyx (common); Sacrum (common); Posterior thigh (spillover),Diffuse ache over the buttock mass. The medial-fibre trigger point near the coccyx mimics coccydynia. Rarely crosses the knee.,Coccydynia; SI joint dysfunction,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-glut-med,Gluteus medius,lower,Muscle (myofascial),C,Iliac crest (primary); Upper buttock (primary); Sacrum (common); Sacroiliac joint region (common); Lower buttock / gluteal fold (common); Posterior thigh (common); Lumbar paraspinal (common),"Posterior iliac crest, sacrum and the whole buttock — the classic 'low back pain' muscle. Spillover into the posterior thigh and upper calf.",SI joint dysfunction; lumbar facet; L5 radiculopathy,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-glut-min,Gluteus minimus,lower,Muscle (myofascial),C,Lower buttock / gluteal fold (primary); Lateral thigh (primary); Lateral leg (primary); Lateral malleolus (common); Upper buttock (common); Posterior thigh (common); Posterior calf (common); Lateral knee (common),"THE pseudo-sciatica pattern, and the most convincing non-radicular mimic in the whole atlas. Anterior fibres refer from the lateral buttock down the OUTSIDE of the leg as far as the ankle; posterior fibres run down the back of the buttock and thigh, stopping at the calf. Leg pain to the ankle with no dermatomal, myotomal or reflex change should raise this immediately.","L5 or S1 radiculopathy — the discriminator is the ABSENCE of reflex, myotome and dermatome findings","Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-gracilis,Gracilis,lower,Muscle (myofascial),C,Medial thigh (primary); Medial knee (spillover),"A diffuse, superficial ache with an itching quality along the medial thigh — distinctively surface-level rather than deep, which separates it from adductor longus.",,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-iliopsoas,Iliopsoas,lower,Muscle (myofascial),C,Lumbar paraspinal (primary); Groin / inguinal (primary); Anterior thigh (common); Anterior hip (common); Lumbar midline (spillover),"A vertical band in the ipsilateral upper lumbar paraspinal region plus anterior groin, spilling into the anterior thigh to the knee. A frequently missed mimic of discogenic back pain.",Discogenic low back pain; hip flexor strain; intra-articular hip pathology,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-levator-ani,Levator ani / coccygeus,lower,Muscle (myofascial),C,Coccyx (primary); Sacrum (primary); Perineum / pelvic floor (common); Lower buttock / gluteal fold (common),Coccyx and lower sacrum — the coccydynia pattern — with buttock referral and a sensation of rectal fullness.,Coccydynia; levator ani syndrome; proctalgia fugax,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-obturator-int,Obturator internus,lower,Muscle (myofascial),C,Perineum / pelvic floor (primary); Coccyx (primary); Lower buttock / gluteal fold (common); Posterior thigh (spillover); Sacrum (spillover),"Deep pelvic floor, coccyx and posterior vaginal or rectal wall, spilling into the perineum and posterior thigh.",Pudendal neuralgia; levator ani syndrome,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-pectineus,Pectineus,lower,Muscle (myofascial),C,Groin / inguinal (primary); Anterior hip (common); Medial thigh (spillover),Sharply localised deep pain in the groin crease with minimal spillover.,Hip labral tear; intra-articular hip pathology; femoroacetabular impingement,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-piriformis,Piriformis,lower,Muscle (myofascial),C,Sacroiliac joint region (primary); Upper buttock (primary); Sacrum (common); Lower buttock / gluteal fold (common); Posterior thigh (common),"Over the SI joint, sacrum, buttock and posterior hip, extending into the proximal two-thirds of the posterior thigh. Distinguish the myofascial referral (rarely past the knee) from true piriformis syndrome — sciatic nerve entrapment — which does produce symptoms to the foot.",Deep gluteal syndrome (true nerve entrapment); SI joint; S1 radiculopathy,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-popliteus,Popliteus,lower,Muscle (myofascial),C,Posterior knee / popliteal fossa (primary); Posterior calf (spillover),"Localised posterior knee pain, worse descending stairs or hills and with squatting. Minimal spillover.",Popliteus tendinopathy; posterior horn meniscal tear; Baker's cyst,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-ql,Quadratus lumborum,lower,Muscle (myofascial),C,Iliac crest (primary); Sacroiliac joint region (primary); Lower buttock / gluteal fold (common); Greater trochanter / lateral hip (common); Groin / inguinal (common); Flank / lateral trunk (common); Lumbar paraspinal (common); Lower abdomen (spillover),"Superficial layer refers along the iliac crest and into the lower buttock and greater trochanter; deep layer concentrates over the SI joint, with spillover to the groin and lower lateral abdomen. One of the most consistently missed sources of 'SI joint' pain.",SI joint dysfunction; greater trochanteric pain syndrome; hip pathology,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-quad-plantae,Quadratus plantae,lower,Muscle (myofascial),C,Plantar heel (primary),"Central plantar heel pad. Distinctively, it mimics plantar fasciitis WITHOUT arch involvement — that absence is the discriminator.",Plantar fasciitis (but without arch pain); Baxter's neuropathy,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-rectus-abd-low,Rectus abdominis (lower fibres),lower,Muscle (myofascial),C,Lumbar paraspinal (primary); Lower abdomen (primary); Sacrum (common); Sacroiliac joint region (spillover),"Refers as a band across the LOW BACK bilaterally, plus sacral and pelvic pain — easily missed because the examination focuses on posterior structures.",Mechanical low back pain; visceral/gynaecological pathology (exclude first),"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-rectus-fem,Rectus femoris,lower,Muscle (myofascial),C,Anterior knee / patella (primary); Anterior thigh (primary); Anterior hip (spillover),"Deep anterior thigh and, characteristically, the ANTERIOR KNEE — the referral is felt distally even though the trigger point sits proximally near the ASIS.",Patellofemoral pain syndrome,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-sartorius,Sartorius,lower,Muscle (myofascial),C,Anterior thigh (primary); Lateral thigh (common); Medial knee (common); Anterior hip (spillover),"Superficial, TINGLING or paraesthetic in quality — atypical for myofascial pain — running along the muscle from the anterolateral thigh toward the medial knee. The proximal trigger point near the ASIS can mimic meralgia paraesthetica.",Meralgia paraesthetica (lateral femoral cutaneous n.),"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-medial-hams,Semitendinosus / semimembranosus,lower,Muscle (myofascial),C,Lower buttock / gluteal fold (primary); Posterior thigh (primary); Posterior knee / popliteal fossa (common); Medial knee (spillover),Lower buttock crease and posteromedial thigh down to the popliteal fossa — a distinct laterality from biceps femoris.,Proximal hamstring tendinopathy; ischiogluteal bursitis,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-soleus,Soleus,lower,Muscle (myofascial),C,Plantar heel (primary); Achilles region (primary); Posterior calf (common); Sacroiliac joint region (common); Posterior knee / popliteal fossa (spillover),"The LOWER trigger point near the Achilles refers to the HEEL and plantar surface — a textbook mimic of plantar fasciitis, reproducing weight-bearing heel pain. The upper/lateral trigger point refers, unexpectedly, to the SI JOINT region.",Plantar fasciitis; Achilles tendinopathy; Baxter's neuropathy; SI joint dysfunction,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-tfl,Tensor fasciae latae,lower,Muscle (myofascial),C,Greater trochanter / lateral hip (primary); Lateral thigh (primary); Anterior hip (common); Lateral knee (spillover),Anterolateral hip over the greater trochanter and down the lateral thigh along the IT band toward the lateral knee.,Greater trochanteric pain syndrome; IT band syndrome,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-tib-ant,Tibialis anterior,lower,Muscle (myofascial),C,Anterior shin (primary); Anterior ankle (primary); Great toe / first web space (primary); Dorsum of foot (common),"Anterior ankle and the dorsum of the great toe and first ray, with local anterior shin pain.",L5 radiculopathy; deep fibular n. entrapment; anterior compartment syndrome,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-tib-post,Tibialis posterior,lower,Muscle (myofascial),C,Achilles region (primary); Plantar forefoot / metatarsal heads (primary); Medial arch (primary); Posterior calf (common); Plantar heel (common),"Diffuse — Achilles region, the ENTIRE plantar sole, and the posterior calf. The widest plantar distribution of any leg muscle.",Tarsal tunnel syndrome; tibialis posterior tendinopathy; plantar fasciitis,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-vastus-int,Vastus intermedius,lower,Muscle (myofascial),C,Anterior thigh (primary); Anterior knee / patella (common),"Diffuse, poorly localised mid-anterior thigh spreading toward the anterior knee. Often underappreciated in 'unexplained' anterior thigh ache.",,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-vastus-lat,Vastus lateralis,lower,Muscle (myofascial),C,Lateral thigh (primary); Lateral knee (primary); Greater trochanter / lateral hip (common); Lower buttock / gluteal fold (spillover),"The widest referral of the quadriceps group — the entire lateral thigh from hip to knee, with the most distal trigger point referring to the lateral knee and proximal ones to the lateral hip and buttock.",IT band syndrome; lateral knee pain; greater trochanteric pain syndrome,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-m-vastus-med,Vastus medialis,lower,Muscle (myofascial),C,Medial knee (primary); Anterior knee / patella (common); Anterior thigh (spillover),"Medial knee, with the superior (VMO) trigger point referring deep into the knee joint. Classically associated with a reflex-inhibition 'buckling' or giving-way sensation in the ABSENCE of true ligamentous laxity.",Meniscal tear; ACL insufficiency (but ligament tests are negative); patellofemoral pain,"Travell & Simons, Myofascial Pain and Dysfunction Vol. 2 (Lower Half of Body)."
lq-root-l3,L3 nerve root,lower,Nerve root (dynatome),B,Anterior thigh (primary); Medial knee (common); Groin / inguinal (common); Medial thigh (common); Lumbar paraspinal (spillover),Anterior and distal thigh to the medial knee. Prone knee bend is the loading test — 70% sensitive and 88% specific for L3 specifically.,,Clinical radiculopathy series; ASIA sensory points; Suri et al. 2011 (femoral stretch test).
lq-root-l4,L4 nerve root,lower,Nerve root (dynatome),B,Medial leg (primary); Medial malleolus (primary); Medial knee (common); Anterior thigh (common); Lumbar paraspinal (spillover); Anterior shin (spillover),"Medial leg and medial malleolus, with anterior thigh involvement. The transitional root — it feeds both the femoral nerve and the lumbosacral trunk, so it can present like an upper or a lower lumbar lesion.",,Clinical radiculopathy series; ASIA sensory points.
lq-root-l5,L5 nerve root,lower,Nerve root (dynatome),B,Lateral leg (primary); Dorsum of foot (primary); Great toe / first web space (primary); Posterior thigh (common); Upper buttock (common); Anterior shin (common); Lateral thigh (common); Lumbar paraspinal (spillover),"Lateral leg, dorsum of foot, great toe and first web space, with buttock and posterolateral thigh referral proximally. The commonest lumbar radiculopathy alongside S1.",Common fibular n. at the fibular neck (spares hip abduction and inversion); gluteus minimus TrP,Clinical radiculopathy series; ASIA sensory points; SLR/slump literature.
lq-root-s1,S1 nerve root,lower,Nerve root (dynatome),B,Posterior calf (primary); Lateral malleolus (primary); Posterior thigh (primary); Lateral toes (common); Lower buttock / gluteal fold (common); Plantar heel (common); Upper buttock (common),Posterior thigh and calf into the lateral foot and lateral malleolus. Achilles reflex loss is the localising sign.,Piriformis / deep gluteal syndrome; SI joint; hamstring pathology,Clinical radiculopathy series; ASIA sensory points.
ue-disc-c2c3,C2–C3 intervertebral disc,upper,Intervertebral disc,B,Occiput (primary); Upper posterior neck (primary); Suboccipital (common); Temporal / side of head (common); Vertex / top of head (common); Face / cheek / jaw (spillover),"Head pain is disproportionately a C2–3 phenomenon: 19/40 reported head pain (occipital most common, then temporal, then parietal) and 4 patients had EXCLUSIVELY head pain with no neck component. 80% of painful C2–3 discs looked normal on MRI.",,"Schellhas et al., AJNR 2000 — provocation discography, 40 chronic head/neck pain patients; Slipman et al., Spine J 2005 (41 subjects, 101 maps)."
ue-disc-c3c4,C3–C4 intervertebral disc,upper,Intervertebral disc,B,Mid posterior neck (primary); Upper posterior neck (common); Top of shoulder / suprascapular (common); Interscapular / upper thoracic paraspinal (common); Suboccipital (spillover); Anterior neck / throat (spillover); Face / cheek / jaw (spillover); Anterior deltoid / anterior shoulder (spillover),"Neck, subocciput, trapezius, anterior neck, face, shoulder, interscapular and limb — one of the broadest referral fields of any cervical disc.",,"Slipman et al., Spine J 2005 (19 maps); Grubb & Kelly, Spine 2000."
ue-disc-c4c5,C4–C5 intervertebral disc,upper,Intervertebral disc,B,Lower posterior neck (primary); Top of shoulder / suprascapular (primary); Interscapular / upper thoracic paraspinal (common); Superior angle of scapula (common); Anterior chest / precordial / breast (spillover); Anterior deltoid / anterior shoulder (spillover); Anterior / lateral upper arm (spillover),"Neck, shoulder, interscapular, trapezius, extremity, face, chest, subocciput. Grubb & Kelly found anterior chest wall referral begins at this level.",,"Slipman et al., Spine J 2005 (27 maps); Grubb & Kelly, Spine 2000."
ue-disc-c5c6,C5–C6 intervertebral disc,upper,Intervertebral disc,B,Lower posterior neck (primary); Top of shoulder / suprascapular (primary); Interscapular / upper thoracic paraspinal (common); Anterior chest / precordial / breast (common); Superior angle of scapula (common); Anterior deltoid / anterior shoulder (spillover); Anterior / lateral upper arm (spillover),"Neck, trapezius, interscapular, subocciput, anterior neck, chest, face. Bilateral pain occurred in 30–62% of discs at every level — laterality of pain does NOT indicate laterality of pathology.",,"Slipman et al., Spine J 2005 (27 maps); Grubb & Kelly, Spine 2000."
ue-disc-c6c7,C6–C7 intervertebral disc,upper,Intervertebral disc,B,Interscapular / upper thoracic paraspinal (primary); Lower posterior neck (common); Top of shoulder / suprascapular (common); Vertebral border of scapula (common); Anterior / lateral upper arm (spillover); Dorsoradial forearm (spillover); Anterior chest / precordial / breast (spillover),"Neck, interscapular, trapezius, shoulder, extremity, subocciput. Arm referral is most consistent at this level and C5–6.",,"Slipman et al., Spine J 2005 (16 maps); Grubb & Kelly, Spine 2000."
ue-disc-c7t1,C7–T1 intervertebral disc,upper,Intervertebral disc,B,Interscapular / upper thoracic paraspinal (primary); Lower posterior neck (common); Mid thoracic paraspinal (T5–T8) (common),"Mid-posterior neck through to the mid-thoracic spine, and the interscapular region. Very few mapped cases — the weakest-supported of the cervical disc levels.",,"Grubb & Kelly, Spine 2000; Slipman et al., Spine J 2005 (only 2 maps at this level)."
ue-facet-c0c1,C0–C1 atlanto-occipital joint,upper,Zygapophysial (facet) joint,A,Suboccipital (primary); Occiput (common); Upper posterior neck (common); Vertex / top of head (spillover); Frontal / supraorbital / retro-orbital (spillover),"Consistently suboccipital; may extend cephalad toward the vertex and occasionally the frontal region. Very small volunteer sample (N=5) — treat the zone as indicative, not precise.",,"Dreyfuss, Michaelsen & Fletcher, Spine 1994 — provocative intra-articular injection, 5 asymptomatic volunteers."
ue-facet-c1c2,C1–C2 lateral atlanto-axial joint,upper,Zygapophysial (facet) joint,A,Occiput (primary); Suboccipital (primary); Ear / retromastoid (common); Upper posterior neck (common),"Discrete unilateral pain at the occipito-cervical junction, retromastoid area and upper cervical region. Aprill's clinical criteria (occipital pain + focal C1 transverse process tenderness + restricted rotation) had only 60% positive predictive value — distribution alone cannot substitute for a diagnostic block.",,"Dreyfuss et al., Spine 1994 (N=5 volunteers); clinical validation by controlled blocks — Aprill, Axinn & Bogduk, Cephalalgia 2002 (21/34 patients confirmed)."
ue-facet-c2c3,C2–C3 facet joint (third occipital nerve),upper,Zygapophysial (facet) joint,A,Upper posterior neck (primary); Occiput (primary); Suboccipital (common); Ear / retromastoid (common); Vertex / top of head (common); Frontal / supraorbital / retro-orbital (spillover); Temporal / side of head (spillover),"Upper neck pain extending into the head — toward the ear, vertex, forehead or eye. The most common source of headache after whiplash: third occipital nerve headache found in 27% of whiplash patients overall and 53% of those whose dominant complaint was headache.",Cervicogenic headache from C1–2; occipital neuralgia; migraine,"Dwyer, Aprill & Bogduk, Spine 1990 — volunteer distension; validated clinically in Aprill et al. 1990; Lord et al., JNNP 1994 — controlled double-blind blocks."
